accession,spec count,peptide num,avg int m/z_126.127726,avg int m/z_127.124761,avg int m/z_127.131081,avg int m/z_128.128116,avg int m/z_128.134436,avg int m/z_129.131471,avg int m/z_129.13779,avg int m/z_130.134825,avg int m/z_130.141145,avg int m/z_131.13818,avg int m/z_131.1445,avg int m/z_132.141535,avg int m/z_132.147855,avg int m/z_133.14489,avg int m/z_133.15121,avg int m/z_134.148245,norm int m/z_126.127726,norm int m/z_127.124761,norm int m/z_127.131081,norm int m/z_128.128116,norm int m/z_128.134436,norm int m/z_129.131471,norm int m/z_129.13779,norm int m/z_130.134825,norm int m/z_130.141145,norm int m/z_131.13818,norm int m/z_131.1445,norm int m/z_132.141535,norm int m/z_132.147855,norm int m/z_133.14489,norm int m/z_133.15121,norm int m/z_134.148245,description
P02802,20,20,1932.95,3124.15,9223,3011.5,4045.3,2469.15,1701.05,1966.15,2393.2,6697.9,2426.5,4402,1458.25,2271.1,2555.45,2455.3,2355.65,3843.15,15638.6,2240.45,3073.2,2927.9,2196.2,2345.75,3265.1,4434.1,2760.7,3531.85,2141.2,2109.55,1625.95,2545.25,Metallothionein-1 OS=Mus musculus OX=10090 GN=Mt1 PE=1 SV=1
contaminant_KERATIN22,637,637,4855.9,7821.2,14141.45,7487.34,13947.07,7653.19,5518.07,4102.41,7833.21,7755.68,6563.45,8715.36,4843.29,7683.03,17181.21,7537.79,5918.34,9621.38,23978.79,5570.82,10596.84,9076.28,7124.9,4895.1,10687.9,5134.42,7468.2,6992.9,7112.51,7137.57,10934.25,7814.72,no description
A8DUK4,372,372,20855.58,17179.31,15592.1,12669.84,7567.88,15572.32,10919.8,29989.16,23789.05,26326.39,19052.68,32747.58,24435.99,21778.81,21038,27599.73,25419.82,21133.93,26438.59,9427.02,5749.85,18468.31,14099.92,35786.3,32459.4,17429.63,21679.87,26276.66,35886.46,20233.49,13388.81,28614.75,Beta-globin OS=Mus musculus OX=10090 GN=Hbb-bs PE=1 SV=1
P17742,85,85,10044.36,11487.01,6518.64,33280.15,13900.66,7934.31,9970.51,9967.04,8369.35,28740.21,10848.62,18889.41,5500.01,11870.65,11619.47,9440.42,12242.29,14131.09,11052.99,24762.94,10561.47,9409.65,12874.06,11893.39,11419.39,19027.72,12344.34,15156.6,8076.91,11028.11,7394.54,9787.33,Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus OX=10090 GN=Ppia PE=1 SV=2
contaminant_KERATIN02,984,984,5371.5,6880,5706.31,9956.41,14092.99,6090.35,5729.85,5309.12,7152.72,9806.67,7416.42,11350.45,5657.43,8493.07,18152.16,8053.79,6546.79,8463.52,9675.62,7408.02,10707.72,7222.78,7398.36,6335.1,9759.4,6492.35,8438.84,9107.34,8308.15,7890.2,11552.19,8349.71,no description
H7BXC3,98,98,8022.68,10653.5,6009.5,8330.7,22965.9,10309.46,14427.45,13824.38,8201.14,19028.4,13166.66,16258.96,8067.2,16113.7,16148,12455.48,9778.13,13105.68,10189.68,6198.34,17449.51,12226.55,18629.15,16496.55,11189.88,12597.72,14982.08,13045.91,11847.13,14970.14,10276.63,12913.32,Triosephosphate isomerase OS=Mus musculus OX=10090 GN=Tpi1 PE=1 SV=1
P02088,202,202,25588.3,14317.45,14245.69,17332.32,14404.22,14095.39,14402.63,28088.08,22734.64,34465.67,25470.7,32594.86,31291.26,22422.73,20536.42,26607.32,31188.37,17613.27,24155.55,12896.31,10944.22,16716.71,18597.16,33517.72,31020.7,22818.45,28983.02,26154.18,45954.23,20831.75,13069.67,27585.88,Hemoglobin subunit beta-1 OS=Mus musculus OX=10090 GN=Hbb-b1 PE=1 SV=2
O55042-2,161,161,17578.55,17024.62,9577.72,11720.76,42539.36,15790.06,23675.75,21792.37,11303.16,40221.58,20099.8,25957.28,12889.19,30145.96,30145.07,21593.94,21425.49,20943.57,16240.14,8720.78,32321.92,18726.53,30571.12,26004.83,15422.52,26629.28,22871.4,20827.99,18928.73,28007.06,19184.81,22387.99,Isoform 2 of Alpha-synuclein OS=Mus musculus OX=10090 GN=Snca
O55042,161,161,17578.55,17024.62,9577.72,11720.76,42539.36,15790.06,23675.75,21792.37,11303.16,40221.58,20099.8,25957.28,12889.19,30145.96,30145.07,21593.94,21425.49,20943.57,16240.14,8720.78,32321.92,18726.53,30571.12,26004.83,15422.52,26629.28,22871.4,20827.99,18928.73,28007.06,19184.81,22387.99,Alpha-synuclein OS=Mus musculus OX=10090 GN=Snca PE=1 SV=2
E0CYK1,3,3,0,0,0,0,0,146,0,0,0,0,0,144.5,0,0,0,0,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,NA,115.5,NA,NA,NA,NA,Synaptopodin (Fragment) OS=Mus musculus OX=10090 GN=Synpo PE=1 SV=1
